Cancer Sites,Year,Sex, count by year and sex,Age Groups,Count by age group
All Invasive Cancer Sites Combined,1999,Female,631665,< 1 year,23487
All Invasive Cancer Sites Combined,1999,Male,672203,< 1 year,23487
All Invasive Cancer Sites Combined,2000,Female,641827,< 1 year,23487
All Invasive Cancer Sites Combined,2000,Male,689946,< 1 year,23487
All Invasive Cancer Sites Combined,2001,Female,662163,< 1 year,23487
All Invasive Cancer Sites Combined,2001,Male,714899,< 1 year,23487
All Invasive Cancer Sites Combined,2002,Female,667596,< 1 year,23487
All Invasive Cancer Sites Combined,2002,Male,726545,< 1 year,23487
All Invasive Cancer Sites Combined,2003,Female,675915,< 1 year,23487
All Invasive Cancer Sites Combined,2003,Male,731733,< 1 year,23487
All Invasive Cancer Sites Combined,2004,Female,687127,< 1 year,23487
All Invasive Cancer Sites Combined,2004,Male,743860,< 1 year,23487
All Invasive Cancer Sites Combined,2005,Female,702609,< 1 year,23487
All Invasive Cancer Sites Combined,2005,Male,756965,< 1 year,23487
All Invasive Cancer Sites Combined,2006,Female,714495,< 1 year,23487
All Invasive Cancer Sites Combined,2006,Male,781149,< 1 year,23487
All Invasive Cancer Sites Combined,2007,Female,730802,< 1 year,23487
All Invasive Cancer Sites Combined,2007,Male,810778,< 1 year,23487
All Invasive Cancer Sites Combined,2008,Female,749603,< 1 year,23487
All Invasive Cancer Sites Combined,2008,Male,813998,< 1 year,23487
All Invasive Cancer Sites Combined,2009,Female,763599,< 1 year,23487
All Invasive Cancer Sites Combined,2009,Male,817002,< 1 year,23487
All Invasive Cancer Sites Combined,2010,Female,763022,< 1 year,23487
All Invasive Cancer Sites Combined,2010,Male,814199,< 1 year,23487
All Invasive Cancer Sites Combined,2011,Female,780218,< 1 year,23487
All Invasive Cancer Sites Combined,2011,Male,833811,< 1 year,23487
All Invasive Cancer Sites Combined,2012,Female,792541,< 1 year,23487
All Invasive Cancer Sites Combined,2012,Male,811616,< 1 year,23487
All Invasive Cancer Sites Combined,2013,Female,810269,< 1 year,23487
All Invasive Cancer Sites Combined,2013,Male,826776,< 1 year,23487
All Invasive Cancer Sites Combined,2014,Female,826828,< 1 year,23487
All Invasive Cancer Sites Combined,2014,Male,837049,< 1 year,23487
All Invasive Cancer Sites Combined,2015,Female,846942,< 1 year,23487
All Invasive Cancer Sites Combined,2015,Male,860777,< 1 year,23487
All Invasive Cancer Sites Combined,2016,Female,857169,< 1 year,23487
All Invasive Cancer Sites Combined,2016,Male,877189,< 1 year,23487
All Invasive Cancer Sites Combined,2017,Female,866365,< 1 year,23487
All Invasive Cancer Sites Combined,2017,Male,899399,< 1 year,23487
All Invasive Cancer Sites Combined,2018,Female,878993,< 1 year,23487
All Invasive Cancer Sites Combined,2018,Male,911982,< 1 year,23487
All Invasive Cancer Sites Combined,2019,Female,899200,< 1 year,23487
All Invasive Cancer Sites Combined,2019,Male,938941,< 1 year,23487
All Invasive Cancer Sites Combined,2020,Female,813880,< 1 year,23487
All Invasive Cancer Sites Combined,2020,Male,847364,< 1 year,23487
All Invasive Cancer Sites Combined,2021,Female,877348,< 1 year,23487
All Invasive Cancer Sites Combined,2021,Male,900218,< 1 year,23487
All Invasive Cancer Sites Combined,1999,Female,631665,1-4 years,80264
All Invasive Cancer Sites Combined,1999,Male,672203,1-4 years,80264
All Invasive Cancer Sites Combined,2000,Female,641827,1-4 years,80264
All Invasive Cancer Sites Combined,2000,Male,689946,1-4 years,80264
All Invasive Cancer Sites Combined,2001,Female,662163,1-4 years,80264
All Invasive Cancer Sites Combined,2001,Male,714899,1-4 years,80264
All Invasive Cancer Sites Combined,2002,Female,667596,1-4 years,80264
All Invasive Cancer Sites Combined,2002,Male,726545,1-4 years,80264
All Invasive Cancer Sites Combined,2003,Female,675915,1-4 years,80264
All Invasive Cancer Sites Combined,2003,Male,731733,1-4 years,80264
All Invasive Cancer Sites Combined,2004,Female,687127,1-4 years,80264
All Invasive Cancer Sites Combined,2004,Male,743860,1-4 years,80264
All Invasive Cancer Sites Combined,2005,Female,702609,1-4 years,80264
All Invasive Cancer Sites Combined,2005,Male,756965,1-4 years,80264
All Invasive Cancer Sites Combined,2006,Female,714495,1-4 years,80264
All Invasive Cancer Sites Combined,2006,Male,781149,1-4 years,80264
All Invasive Cancer Sites Combined,2007,Female,730802,1-4 years,80264
All Invasive Cancer Sites Combined,2007,Male,810778,1-4 years,80264
All Invasive Cancer Sites Combined,2008,Female,749603,1-4 years,80264
All Invasive Cancer Sites Combined,2008,Male,813998,1-4 years,80264
All Invasive Cancer Sites Combined,2009,Female,763599,1-4 years,80264
All Invasive Cancer Sites Combined,2009,Male,817002,1-4 years,80264
All Invasive Cancer Sites Combined,2010,Female,763022,1-4 years,80264
All Invasive Cancer Sites Combined,2010,Male,814199,1-4 years,80264
All Invasive Cancer Sites Combined,2011,Female,780218,1-4 years,80264
All Invasive Cancer Sites Combined,2011,Male,833811,1-4 years,80264
All Invasive Cancer Sites Combined,2012,Female,792541,1-4 years,80264
All Invasive Cancer Sites Combined,2012,Male,811616,1-4 years,80264
All Invasive Cancer Sites Combined,2013,Female,810269,1-4 years,80264
All Invasive Cancer Sites Combined,2013,Male,826776,1-4 years,80264
All Invasive Cancer Sites Combined,2014,Female,826828,1-4 years,80264
All Invasive Cancer Sites Combined,2014,Male,837049,1-4 years,80264
All Invasive Cancer Sites Combined,2015,Female,846942,1-4 years,80264
All Invasive Cancer Sites Combined,2015,Male,860777,1-4 years,80264
All Invasive Cancer Sites Combined,2016,Female,857169,1-4 years,80264
All Invasive Cancer Sites Combined,2016,Male,877189,1-4 years,80264
All Invasive Cancer Sites Combined,2017,Female,866365,1-4 years,80264
All Invasive Cancer Sites Combined,2017,Male,899399,1-4 years,80264
All Invasive Cancer Sites Combined,2018,Female,878993,1-4 years,80264
All Invasive Cancer Sites Combined,2018,Male,911982,1-4 years,80264
All Invasive Cancer Sites Combined,2019,Female,899200,1-4 years,80264
All Invasive Cancer Sites Combined,2019,Male,938941,1-4 years,80264
All Invasive Cancer Sites Combined,2020,Female,813880,1-4 years,80264
All Invasive Cancer Sites Combined,2020,Male,847364,1-4 years,80264
All Invasive Cancer Sites Combined,2021,Female,877348,1-4 years,80264
All Invasive Cancer Sites Combined,2021,Male,900218,1-4 years,80264
All Invasive Cancer Sites Combined,1999,Female,631665,5-9 years,57995
All Invasive Cancer Sites Combined,1999,Male,672203,5-9 years,57995
All Invasive Cancer Sites Combined,2000,Female,641827,5-9 years,57995
All Invasive Cancer Sites Combined,2000,Male,689946,5-9 years,57995
All Invasive Cancer Sites Combined,2001,Female,662163,5-9 years,57995
All Invasive Cancer Sites Combined,2001,Male,714899,5-9 years,57995
All Invasive Cancer Sites Combined,2002,Female,667596,5-9 years,57995
All Invasive Cancer Sites Combined,2002,Male,726545,5-9 years,57995
All Invasive Cancer Sites Combined,2003,Female,675915,5-9 years,57995
All Invasive Cancer Sites Combined,2003,Male,731733,5-9 years,57995
All Invasive Cancer Sites Combined,2004,Female,687127,5-9 years,57995
All Invasive Cancer Sites Combined,2004,Male,743860,5-9 years,57995
All Invasive Cancer Sites Combined,2005,Female,702609,5-9 years,57995
All Invasive Cancer Sites Combined,2005,Male,756965,5-9 years,57995
All Invasive Cancer Sites Combined,2006,Female,714495,5-9 years,57995
All Invasive Cancer Sites Combined,2006,Male,781149,5-9 years,57995
All Invasive Cancer Sites Combined,2007,Female,730802,5-9 years,57995
All Invasive Cancer Sites Combined,2007,Male,810778,5-9 years,57995
All Invasive Cancer Sites Combined,2008,Female,749603,5-9 years,57995
All Invasive Cancer Sites Combined,2008,Male,813998,5-9 years,57995
All Invasive Cancer Sites Combined,2009,Female,763599,5-9 years,57995
All Invasive Cancer Sites Combined,2009,Male,817002,5-9 years,57995
All Invasive Cancer Sites Combined,2010,Female,763022,5-9 years,57995
All Invasive Cancer Sites Combined,2010,Male,814199,5-9 years,57995
All Invasive Cancer Sites Combined,2011,Female,780218,5-9 years,57995
All Invasive Cancer Sites Combined,2011,Male,833811,5-9 years,57995
All Invasive Cancer Sites Combined,2012,Female,792541,5-9 years,57995
All Invasive Cancer Sites Combined,2012,Male,811616,5-9 years,57995
All Invasive Cancer Sites Combined,2013,Female,810269,5-9 years,57995
All Invasive Cancer Sites Combined,2013,Male,826776,5-9 years,57995
All Invasive Cancer Sites Combined,2014,Female,826828,5-9 years,57995
All Invasive Cancer Sites Combined,2014,Male,837049,5-9 years,57995
All Invasive Cancer Sites Combined,2015,Female,846942,5-9 years,57995
All Invasive Cancer Sites Combined,2015,Male,860777,5-9 years,57995
All Invasive Cancer Sites Combined,2016,Female,857169,5-9 years,57995
All Invasive Cancer Sites Combined,2016,Male,877189,5-9 years,57995
All Invasive Cancer Sites Combined,2017,Female,866365,5-9 years,57995
All Invasive Cancer Sites Combined,2017,Male,899399,5-9 years,57995
All Invasive Cancer Sites Combined,2018,Female,878993,5-9 years,57995
All Invasive Cancer Sites Combined,2018,Male,911982,5-9 years,57995
All Invasive Cancer Sites Combined,2019,Female,899200,5-9 years,57995
All Invasive Cancer Sites Combined,2019,Male,938941,5-9 years,57995
All Invasive Cancer Sites Combined,2020,Female,813880,5-9 years,57995
All Invasive Cancer Sites Combined,2020,Male,847364,5-9 years,57995
All Invasive Cancer Sites Combined,2021,Female,877348,5-9 years,57995
All Invasive Cancer Sites Combined,2021,Male,900218,5-9 years,57995
All Invasive Cancer Sites Combined,1999,Female,631665,10-14 years,67419
All Invasive Cancer Sites Combined,1999,Male,672203,10-14 years,67419
All Invasive Cancer Sites Combined,2000,Female,641827,10-14 years,67419
All Invasive Cancer Sites Combined,2000,Male,689946,10-14 years,67419
All Invasive Cancer Sites Combined,2001,Female,662163,10-14 years,67419
All Invasive Cancer Sites Combined,2001,Male,714899,10-14 years,67419
All Invasive Cancer Sites Combined,2002,Female,667596,10-14 years,67419
All Invasive Cancer Sites Combined,2002,Male,726545,10-14 years,67419
All Invasive Cancer Sites Combined,2003,Female,675915,10-14 years,67419
All Invasive Cancer Sites Combined,2003,Male,731733,10-14 years,67419
All Invasive Cancer Sites Combined,2004,Female,687127,10-14 years,67419
All Invasive Cancer Sites Combined,2004,Male,743860,10-14 years,67419
All Invasive Cancer Sites Combined,2005,Female,702609,10-14 years,67419
All Invasive Cancer Sites Combined,2005,Male,756965,10-14 years,67419
All Invasive Cancer Sites Combined,2006,Female,714495,10-14 years,67419
All Invasive Cancer Sites Combined,2006,Male,781149,10-14 years,67419
All Invasive Cancer Sites Combined,2007,Female,730802,10-14 years,67419
All Invasive Cancer Sites Combined,2007,Male,810778,10-14 years,67419
All Invasive Cancer Sites Combined,2008,Female,749603,10-14 years,67419
All Invasive Cancer Sites Combined,2008,Male,813998,10-14 years,67419
All Invasive Cancer Sites Combined,2009,Female,763599,10-14 years,67419
All Invasive Cancer Sites Combined,2009,Male,817002,10-14 years,67419
All Invasive Cancer Sites Combined,2010,Female,763022,10-14 years,67419
All Invasive Cancer Sites Combined,2010,Male,814199,10-14 years,67419
All Invasive Cancer Sites Combined,2011,Female,780218,10-14 years,67419
All Invasive Cancer Sites Combined,2011,Male,833811,10-14 years,67419
All Invasive Cancer Sites Combined,2012,Female,792541,10-14 years,67419
All Invasive Cancer Sites Combined,2012,Male,811616,10-14 years,67419
All Invasive Cancer Sites Combined,2013,Female,810269,10-14 years,67419
All Invasive Cancer Sites Combined,2013,Male,826776,10-14 years,67419
All Invasive Cancer Sites Combined,2014,Female,826828,10-14 years,67419
All Invasive Cancer Sites Combined,2014,Male,837049,10-14 years,67419
All Invasive Cancer Sites Combined,2015,Female,846942,10-14 years,67419
All Invasive Cancer Sites Combined,2015,Male,860777,10-14 years,67419
All Invasive Cancer Sites Combined,2016,Female,857169,10-14 years,67419
All Invasive Cancer Sites Combined,2016,Male,877189,10-14 years,67419
All Invasive Cancer Sites Combined,2017,Female,866365,10-14 years,67419
All Invasive Cancer Sites Combined,2017,Male,899399,10-14 years,67419
All Invasive Cancer Sites Combined,2018,Female,878993,10-14 years,67419
All Invasive Cancer Sites Combined,2018,Male,911982,10-14 years,67419
All Invasive Cancer Sites Combined,2019,Female,899200,10-14 years,67419
All Invasive Cancer Sites Combined,2019,Male,938941,10-14 years,67419
All Invasive Cancer Sites Combined,2020,Female,813880,10-14 years,67419
All Invasive Cancer Sites Combined,2020,Male,847364,10-14 years,67419
All Invasive Cancer Sites Combined,2021,Female,877348,10-14 years,67419
All Invasive Cancer Sites Combined,2021,Male,900218,10-14 years,67419
All Invasive Cancer Sites Combined,1999,Female,631665,15-19 years,109896
All Invasive Cancer Sites Combined,1999,Male,672203,15-19 years,109896
All Invasive Cancer Sites Combined,2000,Female,641827,15-19 years,109896
All Invasive Cancer Sites Combined,2000,Male,689946,15-19 years,109896
All Invasive Cancer Sites Combined,2001,Female,662163,15-19 years,109896
All Invasive Cancer Sites Combined,2001,Male,714899,15-19 years,109896
All Invasive Cancer Sites Combined,2002,Female,667596,15-19 years,109896
All Invasive Cancer Sites Combined,2002,Male,726545,15-19 years,109896
All Invasive Cancer Sites Combined,2003,Female,675915,15-19 years,109896
All Invasive Cancer Sites Combined,2003,Male,731733,15-19 years,109896
All Invasive Cancer Sites Combined,2004,Female,687127,15-19 years,109896
All Invasive Cancer Sites Combined,2004,Male,743860,15-19 years,109896
All Invasive Cancer Sites Combined,2005,Female,702609,15-19 years,109896
All Invasive Cancer Sites Combined,2005,Male,756965,15-19 years,109896
All Invasive Cancer Sites Combined,2006,Female,714495,15-19 years,109896
All Invasive Cancer Sites Combined,2006,Male,781149,15-19 years,109896
All Invasive Cancer Sites Combined,2007,Female,730802,15-19 years,109896
All Invasive Cancer Sites Combined,2007,Male,810778,15-19 years,109896
All Invasive Cancer Sites Combined,2008,Female,749603,15-19 years,109896
All Invasive Cancer Sites Combined,2008,Male,813998,15-19 years,109896
All Invasive Cancer Sites Combined,2009,Female,763599,15-19 years,109896
All Invasive Cancer Sites Combined,2009,Male,817002,15-19 years,109896
All Invasive Cancer Sites Combined,2010,Female,763022,15-19 years,109896
All Invasive Cancer Sites Combined,2010,Male,814199,15-19 years,109896
All Invasive Cancer Sites Combined,2011,Female,780218,15-19 years,109896
All Invasive Cancer Sites Combined,2011,Male,833811,15-19 years,109896
All Invasive Cancer Sites Combined,2012,Female,792541,15-19 years,109896
All Invasive Cancer Sites Combined,2012,Male,811616,15-19 years,109896
All Invasive Cancer Sites Combined,2013,Female,810269,15-19 years,109896
All Invasive Cancer Sites Combined,2013,Male,826776,15-19 years,109896
All Invasive Cancer Sites Combined,2014,Female,826828,15-19 years,109896
All Invasive Cancer Sites Combined,2014,Male,837049,15-19 years,109896
All Invasive Cancer Sites Combined,2015,Female,846942,15-19 years,109896
All Invasive Cancer Sites Combined,2015,Male,860777,15-19 years,109896
All Invasive Cancer Sites Combined,2016,Female,857169,15-19 years,109896
All Invasive Cancer Sites Combined,2016,Male,877189,15-19 years,109896
All Invasive Cancer Sites Combined,2017,Female,866365,15-19 years,109896
All Invasive Cancer Sites Combined,2017,Male,899399,15-19 years,109896
All Invasive Cancer Sites Combined,2018,Female,878993,15-19 years,109896
All Invasive Cancer Sites Combined,2018,Male,911982,15-19 years,109896
All Invasive Cancer Sites Combined,2019,Female,899200,15-19 years,109896
All Invasive Cancer Sites Combined,2019,Male,938941,15-19 years,109896
All Invasive Cancer Sites Combined,2020,Female,813880,15-19 years,109896
All Invasive Cancer Sites Combined,2020,Male,847364,15-19 years,109896
All Invasive Cancer Sites Combined,2021,Female,877348,15-19 years,109896
All Invasive Cancer Sites Combined,2021,Male,900218,15-19 years,109896
All Invasive Cancer Sites Combined,1999,Female,631665,20-24 years,176081
All Invasive Cancer Sites Combined,1999,Male,672203,20-24 years,176081
All Invasive Cancer Sites Combined,2000,Female,641827,20-24 years,176081
All Invasive Cancer Sites Combined,2000,Male,689946,20-24 years,176081
All Invasive Cancer Sites Combined,2001,Female,662163,20-24 years,176081
All Invasive Cancer Sites Combined,2001,Male,714899,20-24 years,176081
All Invasive Cancer Sites Combined,2002,Female,667596,20-24 years,176081
All Invasive Cancer Sites Combined,2002,Male,726545,20-24 years,176081
All Invasive Cancer Sites Combined,2003,Female,675915,20-24 years,176081
All Invasive Cancer Sites Combined,2003,Male,731733,20-24 years,176081
All Invasive Cancer Sites Combined,2004,Female,687127,20-24 years,176081
All Invasive Cancer Sites Combined,2004,Male,743860,20-24 years,176081
All Invasive Cancer Sites Combined,2005,Female,702609,20-24 years,176081
All Invasive Cancer Sites Combined,2005,Male,756965,20-24 years,176081
All Invasive Cancer Sites Combined,2006,Female,714495,20-24 years,176081
All Invasive Cancer Sites Combined,2006,Male,781149,20-24 years,176081
All Invasive Cancer Sites Combined,2007,Female,730802,20-24 years,176081
All Invasive Cancer Sites Combined,2007,Male,810778,20-24 years,176081
All Invasive Cancer Sites Combined,2008,Female,749603,20-24 years,176081
All Invasive Cancer Sites Combined,2008,Male,813998,20-24 years,176081
All Invasive Cancer Sites Combined,2009,Female,763599,20-24 years,176081
All Invasive Cancer Sites Combined,2009,Male,817002,20-24 years,176081
All Invasive Cancer Sites Combined,2010,Female,763022,20-24 years,176081
All Invasive Cancer Sites Combined,2010,Male,814199,20-24 years,176081
All Invasive Cancer Sites Combined,2011,Female,780218,20-24 years,176081
All Invasive Cancer Sites Combined,2011,Male,833811,20-24 years,176081
All Invasive Cancer Sites Combined,2012,Female,792541,20-24 years,176081
All Invasive Cancer Sites Combined,2012,Male,811616,20-24 years,176081
All Invasive Cancer Sites Combined,2013,Female,810269,20-24 years,176081
All Invasive Cancer Sites Combined,2013,Male,826776,20-24 years,176081
All Invasive Cancer Sites Combined,2014,Female,826828,20-24 years,176081
All Invasive Cancer Sites Combined,2014,Male,837049,20-24 years,176081
All Invasive Cancer Sites Combined,2015,Female,846942,20-24 years,176081
All Invasive Cancer Sites Combined,2015,Male,860777,20-24 years,176081
All Invasive Cancer Sites Combined,2016,Female,857169,20-24 years,176081
All Invasive Cancer Sites Combined,2016,Male,877189,20-24 years,176081
All Invasive Cancer Sites Combined,2017,Female,866365,20-24 years,176081
All Invasive Cancer Sites Combined,2017,Male,899399,20-24 years,176081
All Invasive Cancer Sites Combined,2018,Female,878993,20-24 years,176081
All Invasive Cancer Sites Combined,2018,Male,911982,20-24 years,176081
All Invasive Cancer Sites Combined,2019,Female,899200,20-24 years,176081
All Invasive Cancer Sites Combined,2019,Male,938941,20-24 years,176081
All Invasive Cancer Sites Combined,2020,Female,813880,20-24 years,176081
All Invasive Cancer Sites Combined,2020,Male,847364,20-24 years,176081
All Invasive Cancer Sites Combined,2021,Female,877348,20-24 years,176081
All Invasive Cancer Sites Combined,2021,Male,900218,20-24 years,176081
All Invasive Cancer Sites Combined,1999,Female,631665,25-29 years,284923
All Invasive Cancer Sites Combined,1999,Male,672203,25-29 years,284923
All Invasive Cancer Sites Combined,2000,Female,641827,25-29 years,284923
All Invasive Cancer Sites Combined,2000,Male,689946,25-29 years,284923
All Invasive Cancer Sites Combined,2001,Female,662163,25-29 years,284923
All Invasive Cancer Sites Combined,2001,Male,714899,25-29 years,284923
All Invasive Cancer Sites Combined,2002,Female,667596,25-29 years,284923
All Invasive Cancer Sites Combined,2002,Male,726545,25-29 years,284923
All Invasive Cancer Sites Combined,2003,Female,675915,25-29 years,284923
All Invasive Cancer Sites Combined,2003,Male,731733,25-29 years,284923
All Invasive Cancer Sites Combined,2004,Female,687127,25-29 years,284923
All Invasive Cancer Sites Combined,2004,Male,743860,25-29 years,284923
All Invasive Cancer Sites Combined,2005,Female,702609,25-29 years,284923
All Invasive Cancer Sites Combined,2005,Male,756965,25-29 years,284923
All Invasive Cancer Sites Combined,2006,Female,714495,25-29 years,284923
All Invasive Cancer Sites Combined,2006,Male,781149,25-29 years,284923
All Invasive Cancer Sites Combined,2007,Female,730802,25-29 years,284923
All Invasive Cancer Sites Combined,2007,Male,810778,25-29 years,284923
All Invasive Cancer Sites Combined,2008,Female,749603,25-29 years,284923
All Invasive Cancer Sites Combined,2008,Male,813998,25-29 years,284923
All Invasive Cancer Sites Combined,2009,Female,763599,25-29 years,284923
